VRM,mileage,CAP ID,Reg Date,Clean,Retail,ValuationDate,Mileage10000,CAPMan,CAPRange,CAPMod,CAPDer,ModIntroduced,ModDiscontinued,CAP Code
KM20WXB,50000,83563,15/07/2020,10500,12500,19/12/2023,,FORD,FOCUS,FOCUS DIESEL HATCHBACK,2.0 EcoBlue Titanium X 5dr,2018,2022,FOFO20TX 5HDTM  6   
DY70LFL,61000,86193,03/09/2020,9425,11550,19/12/2023,,NISSAN,QASHQAI,QASHQAI DIESEL HATCHBACK,1.5 dCi 115 Acenta Premium 5dr,2017,2020,NIQQ15AP15HDTM  3   
WK20TVE,11000,90130,24/03/2020,11500,14000,19/12/2023,,RENAULT,CLIO,CLIO HATCHBACK,1.0 TCe 100 RS Line 5dr,2019,2023,R1CL10RLS5HPTM  7   
NJ16TVO,30000,70131,10/03/2016,11150,13250,19/12/2023,,SKODA,YETI OUTDOOR,YETI OUTDOOR ESTATE,1.2 TSI [110] SE L 5dr,2013,2017,SKYO12SL15EPTM      
PF69YDD,29000,90450,24/01/2020,10250,12250,19/12/2023,,KIA,CEED,CEED HATCHBACK,1.0T GDi ISG 2 NAV 5dr,2018,2022,KICD102NA5HPTM  4   
WN70NNB,31000,86518,30/10/2020,10750,12850,19/12/2023,,NISSAN,QASHQAI,QASHQAI HATCHBACK,1.3 DiG-T Acenta Premium 5dr,2017,2021,NIQQ13APR5HPTM  3   
NJ70HYU,21000,85373,11/09/2020,10550,12350,19/12/2023,,SEAT,ARONA,ARONA HATCHBACK,1.0 TSI 115 FR [EZ] 5dr,2017,2021,SEAN10FEZ5HPTM      
CK18OKD,37000,78868,24/04/2018,7550,9350,19/12/2023,,FORD,FIESTA,FIESTA HATCHBACK,1.0 EcoBoost 140 ST-Line X 3dr,2017,2021,FOFI10SX43HPTM  9   
LM21FOC,14000,96677,31/03/2021,23300,25500,16/01/2024,,MERCEDES-BENZ,EQA,EQA HATCHBACK,EQA 250 140kW AMG Line 66.5kWh 5dr Auto,2021,2024,MEEA00LMA5HE A      
BK68FMC,55000,83272,04/09/2018,11750,13800,24/01/2024,,PEUGEOT,3008,3008 DIESEL ESTATE,1.5 BlueHDi GT Line Premium 5dr,2016,2020,PE3015GEP5EDTM  2   
OE69DZW,4000,83727,25/11/2019,15700,18100,02/01/2024,,FORD,TOURNEO CONNECT,TOURNEO CONNECT DIESEL ESTATE,1.5 EcoBlue 120 Titanium 5dr Powershift,2018,2022,FOTO15T205EDTA  1   
NA70ULN,31000,89907,03/11/2020,20000,22750,03/01/2024,,BMW,3 SERIES,3 SERIES SALOON,330e M Sport 4dr Auto,2019,2022,BM3E20MS 4SXTA  8   
BD21HNV,12000,90734,30/04/2021,13450,15600,19/12/2023,,MG MOTOR UK,ZS,ZS ELECTRIC HATCHBACK,105kW Exclusive EV 45kWh 5dr Auto,2019,2022,NMZS00ECV5HE A      
