VRM,Unused1,CAPMan,CAPMod,CAPDer,DFR,CAPID,Mileage,Unused2,Unused3,Unused4,Unused5,Unused6,Unused7,Unused8,Unused9,Clean_Month,Unused10,Unused11,Retail_Month,Unused12,Unused13,Unused14,Unused15,Unused16,Unused17,Unused18,Unused19,Unused20,Clean_Live,Unused21,Unused22,Retail_Live,Live_Date,Month_Date
YJ21DNK,,BMW,3 SERIES DIESEL TOURING,320d MHT M Sport 5dr Step Auto [Pro Pack],01/03/2021,93779.0,28000,,,,,,,,,26200,,,29000,,,,,,,,,,25650,,,28500,2024-02-02,2024-01-29
OE71BKL,,POLESTAR,2 FASTBACK,170kW 78kWh Long Range SM [Plus] 5dr Auto,01/09/2021,97528.0,6000,,,,,,,,,25900,,,28750,,,,,,,,,,25350,,,28000,2024-02-02,2024-01-29
NX17VKP,,PEUGEOT,3008 ESTATE,1.2 PureTech Allure 5dr,01/03/2017,77729.0,35000,,,,,,,,,10450,,,12500,,,,,,,,,,10550,,,12600,2024-02-02,2024-01-29
AK70JZO,,BMW,2 SERIES GRAN TOURER,218i SE 5dr,01/09/2020,83294.0,29000,,,,,,,,,12800,,,15200,,,,,,,,,,12800,,,15200,2024-02-02,2024-01-29
AK69LCT,,VOLKSWAGEN,GOLF DIESEL HATCHBACK,1.6 TDI Match Edition 5dr,01/09/2019,91326.0,29000,,,,,,,,,12400,,,14400,,,,,,,,,,12400,,,14400,2024-02-02,2024-01-29
EA19KBP,,HYUNDAI,TUCSON ESTATE,1.6 GDi SE Nav 5dr 2WD,01/03/2019,86126.0,63000,,,,,,,,,9400,,,11450,,,,,,,,,,9400,,,11450,2024-02-02,2024-01-29
GL69FAK,,AUDI,A4 SALOON,40 TFSI S Line 4dr S Tronic,01/09/2019,89542.0,40000,,,,,,,,,17450,,,19950,,,,,,,,,,17450,,,19950,2024-02-02,2024-01-29
LG68AHV,,BMW,4 SERIES GRAN COUPE,420i M Sport 5dr Auto [Professional Media],01/09/2018,67434.0,26000,,,,,,,,,16250,,,18750,,,,,,,,,,16250,,,18750,2024-02-02,2024-01-29
BK71OHJ,,AUDI,Q4 E-TRON ESTATE SPECIAL EDITIONS,125kW 35 55.52kWh Edition 1 5dr Auto,01/09/2021,97575.0,20000,,,,,,,,,27300,,,31250,,,,,,,,,,27300,,,31250,2024-02-02,2024-01-29
EA20FJK,,MERCEDES-BENZ,CLA COUPE,CLA 180 AMG Line Premium Plus 4dr Tip Auto,01/03/2020,88930.0,32000,,,,,,,,,21550,,,23750,,,,,,,,,,21550,,,23750,2024-02-02,2024-01-29
